"HolderAddress","Balance","PendingBalanceUpdate"
"0xd2af03696eba235e3855ac45cf0a7766660d8c0d","36,240","No"
"0x70bf28a83ef3ba8a6113b5757aa594d8c7ca249c","35,663.827625516461540776","No"
"0xb63db7607e709f66638192b36c5f4d183072267d","35,086.172668652784195413","No"
"0x0ec977d1863eb919a2ecd65d17cc3f2cfdace3ab","34,804.969512580037311752","No"
"0xd4dcd2459bb78d7a645aa7e196857d421b10d93f","32,255.836439572733471196","No"
"0x8396763a743bd3840b353b4056a7c72dbdf1fb59","31,000","No"
"0xdc6568326278aa13975a037e822a06690d3bb46a","30,000","No"
"0xe8ea976081708f0a57f80d61cd35684001920cbf","28,261.340940090028456917","No"
"0xd00cc5aef6020ee3a24a24f9c5df517deb892561","25,435.62114065151125444","No"
"0x9008d19f58aabd9ed0d60971565aa8510560ab41","25,374.386542954129306259","No"
"0x22e99faf2a47570abf215c359934ecf49f619b8e","25,327.565288437006197181","No"
"0x65c3ffb53319ce08f406d9367aaab93d2619298a","24,999.73","No"
"0x85d515547720b229a01ee59f6a520977165402b0","23,181.857972903682423923","No"
"0x35f06bd68c9ec0765edf2c09e50b3af4332e60e7","22,534.16835956691531273","No"
"0xab5687826469a1916eb9e1470c06b0dcf21581f2","22,064.89532434837856801","No"
"0xa76f82bc8f58986e98aa5106be6df98ae98bbd43","21,000","No"
"0x7a9a0d2ae824ba57a5fe7dabaf7e6846021d4e8e","20,967.423126934033575532","No"
"0x02b322ecfd80aa1de6536be93a496820a84711ed","20,153.028962476201153491","No"
"0x2004673456dd8a736d4db50a9e0d80fe96dacf39","20,000","No"
"0x6c01e8e19c9c52efa5d7f87fbe9000ef6ab375d5","20,000.00000000000002182","No"
"0xdcd7b3a9aa37a7aa7b811e3ec3c3e9cc982aead7","19,049.390974554720250731","No"
"0x7843621a8d9b5127d6de95bcf921d1d305d71cc4","17,457.282895769310054744","No"
"0x258d9aef9184d9e21f9b882e243c42fac1466a59","16,352.294226595249046984","No"
"0xfb8aa192da69dd3de22a9354ea99538315446c0d","16,219.358242604660153587","No"
"0x50be72f4dac794d00f84786dc414f0107f6f972b","15,774.954645867573911449","No"
"0x39087323a006049b5cde3c99dde2492dd206057d","15,240.510449844390082597","No"
"0x898ac64f126b0b73a651784d0225b72ae81a5de4","15,218.075018621443772111","No"
"0xa5c49654bb75ad47b9186942eeba136256346a62","14,723.302678570924267709","No"
"0x12f2260c39e546a4cc00f1728b0ac327e817eb6a","13,761.798191972593540791","No"
"0x51060f433795756bfefd0f9781523c7618b44772","12,266.385516038153430438","No"
"0xaaadf14546fb47a72d89b57d4824dcd04c6113f6","11,990.21898116003164439","No"
"0xee9c06246bd03a5e8df61ef46ec12f40c304c64d","11,912.169873017867663786","No"
